region,row_idx,col_idx,total_valid,p_geq_0.3
R1C1,0,0,2304,0.6618923611111112
R1C2,0,1,2368,0.5988175675675675
R2C1,1,0,2304,0.4322916666666667
R2C2,1,1,2368,0.7065033783783784
